state_abbr,scale,electoral_votes,statewide_plurality
AL,at_large,9,trump
AK,at_large,3,trump
AZ,at_large,11,trump
AR,at_large,6,trump
CA,at_large,54,harris
CO,at_large,10,harris
CT,at_large,7,harris
DE,at_large,3,harris
DC,at_large,3,harris
FL,at_large,30,trump
GA,at_large,16,trump
HI,at_large,4,harris
ID,at_large,4,trump
IL,at_large,19,harris
IN,at_large,11,trump
IA,at_large,6,trump
KS,at_large,6,trump
KY,at_large,8,trump
LA,at_large,8,trump
ME,at_large,2,harris
ME1,congressional_district,1,harris
ME2,congressional_district,1,trump
MD,at_large,10,harris
MA,at_large,11,harris
MI,at_large,15,trump
MN,at_large,10,harris
MS,at_large,6,trump
MO,at_large,10,trump
MT,at_large,4,trump
NE,at_large,2,trump
NE1,congressional_district,1,trump
NE2,congressional_district,1,trump
NE3,congressional_district,1,trump
NV,at_large,6,harris
NH,at_large,4,harris
NJ,at_large,14,harris
NM,at_large,5,harris
NY,at_large,28,harris
NC,at_large,16,trump
ND,at_large,3,harris
NM,at_large,3,harris
OH,at_large,17,trump
OK,at_large,7,trump
OR,at_large,8,harris
PA,at_large,19,trump
RI,at_large,4,harris
SC,at_large,9,trump
SD,at_large,3,trump
TN,at_large,11,trump
TX,at_large,40,trump
UT,at_large,6,trump
VT,at_large,3,harris
VA,at_large,13,harris
WA,at_large,12,harris
WV,at_large,4,trump
WI,at_large,10,trump
WY,at_large,3,trump
